Population code	Population elastic ID	Population name	Population description	Population latitude	Population longitude	Superpopulation code	Superpopulation name	Superpopulation display colour	Superpopulation display order	Data collections
MKK	Masai	Masai	Masai in Kenya	-1.500000	35.200000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project,Human Genome Structural Variation Consortium, Phase 3
	AtayalSGDP	Atayal	Atayal in Taiwan (SGDP)	24.611712	121.296444		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	IrulaSGDP	Irula	Irula in India (SGDP)	13.500000	80.000000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	IcelandicSGDP	Icelandic	Icelandic in Iceland (SGDP)	64.100000	-21.900000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	BantuKenyaSGDP	Bantu Kenya	Bantu Kenya in Kenya (SGDP)	-3.000000	37.000000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	RelliSGDP	Relli	Relli in India (SGDP)	17.700000	83.300000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	SardinianSGDP	Sardinian	Sardinian in Italy (SGDP)	40.000000	9.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	DinkaSGDP	Dinka	Dinka in Sudan (SGDP)	8.794444	27.400000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	NaxiSGDP	Naxi	Naxi in China (SGDP)	26.000000	100.000000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	BurushoSGDP	Burusho	Burusho in Pakistan (SGDP)	36.500000	74.000000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	MakraniSGDP	Makrani	Makrani in Pakistan (SGDP)	26.000000	64.000000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	SpanishSGDP	Spanish	Spanish in Spain (SGDP)	39.900000	-4.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	YemeniteJewSGDP	Yemenite Jew	Yemenite Jew in Yemen (SGDP)	15.400000	44.200000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	OroqenSGDP	Oroqen	Oroqen in China (SGDP)	50.400000	126.500000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	FrenchSGDP	French	French in France (SGDP)	46.000000	2.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	JordanianSGDP	Jordanian	Jordanian in Jordan (SGDP)	32.100000	35.900000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	SindhiSGDP	Sindhi	Sindhi in Pakistan (SGDP)	25.500000	69.000000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	KinhSGDP	Kinh	Kinh in Vietnam (SGDP)	21.000000	105.900000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	IranianSGDP	Iranian	Iranian in Iran (SGDP)	35.600000	51.500000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	ItelmanSGDP	Itelman	Itelman in Russia (SGDP)	57.000000	157.000000		Central Asia and Siberia (SGDP)	#01daa0	15	Simons Genome Diversity Project
	EsanSGDP	Esan	Esan in Nigeria (SGDP)	6.500000	6.000000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	BergamoSGDP	Bergamo	Bergamo in Italy(Bergamo) (SGDP)	46.000000	10.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
